,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
1089,black dress,80.0,83.5,83.8,89.25,93.25,92.8,88.25,82.25,81.8,74.5,77.0,76.0,80.0
1090,party wear dress,54.0,68.75,77.6,95.75,85.25,90.0,80.5,69.75,79.4,67.75,59.25,52.4,57.5
1091,tops,94.0,92.25,83.4,72.75,74.0,72.8,81.75,92.0,94.2,86.5,92.75,82.2,79.5
1092,tops under 500,65.0,54.75,59.4,31.5,52.25,50.4,67.0,69.75,79.6,69.25,81.75,75.4,61.0
1093,dresses for women under 500,30.0,25.75,47.8,24.75,39.0,44.6,42.5,43.75,67.6,30.75,70.75,62.0,75.5
1094,dresses for women,75.0,79.5,77.2,81.25,84.5,87.2,81.25,83.5,89.6,83.5,88.0,85.6,93.0
1095,dress under 300,42.0,48.5,55.2,38.5,54.0,48.8,43.5,55.75,54.8,68.0,70.75,48.8,75.5
1096,urbanic dress,62.0,70.75,68.4,73.0,88.25,96.2,87.75,88.0,82.2,75.75,81.75,81.6,74.0
1097,organza dress,42.0,44.75,47.4,47.75,51.0,60.0,67.5,79.75,81.6,62.5,63.25,64.2,68.0
1098,gym wear set for ladies under 500,0.0,22.0,26.4,30.25,61.0,18.6,32.5,25.5,0.0,15.5,21.75,8.6,25.0
1099,yellow dress for haldi meesho,32.0,11.25,20.2,14.75,40.25,19.0,64.75,34.5,38.8,20.25,26.5,19.4,0.0
1100,backless dress for women,36.0,31.5,23.6,39.5,30.0,33.0,19.75,33.0,31.0,36.5,34.0,35.0,68.5
1101,gym dress for women,53.0,33.5,39.0,52.75,45.75,56.2,57.75,84.0,64.2,61.5,79.75,69.8,53.5
1102,can can skirt under 500,0.0,0.0,0.0,37.25,25.0,13.0,26.5,7.25,26.6,0.0,34.0,6.4,0.0
1103,anarkali dress with dupatta,44.0,61.5,61.8,56.75,32.5,54.6,79.0,64.0,64.8,33.5,54.5,64.2,82.5
1104,sweater for women under 500,0.0,15.25,34.6,45.5,35.25,38.0,14.0,0.0,4.4,2.25,13.25,7.4,9.5
1105,bodycon dress under 300,0.0,5.5,38.2,17.0,29.0,44.2,10.25,29.25,7.0,11.25,0.0,0.0,21.5
1106,maternity wear under 500,0.0,0.0,13.8,0.0,3.75,0.0,25.0,6.25,3.4,8.25,11.5,0.0,12.5
1107,kaftan dress,63.0,71.5,63.2,59.75,48.75,52.8,57.0,69.0,79.4,59.25,61.75,44.0,44.5
1108,best gift under 500,100.0,38.25,33.8,32.25,67.0,34.0,38.5,23.75,35.2,37.25,26.25,44.4,57.0
1109,birthday gift,86.0,89.25,76.6,86.25,83.5,80.0,73.5,68.75,69.4,71.5,84.25,89.8,87.5
1110,gifts,57.0,52.25,56.4,59.25,80.0,64.4,67.25,48.25,49.2,54.0,52.0,52.0,62.0
1111,gifts under 500,18.0,14.25,15.2,15.75,55.5,16.6,14.0,12.5,13.6,13.75,13.25,12.6,18.0
1112,gift ideas under 500,64.0,23.25,31.6,14.25,61.5,27.4,28.25,17.5,12.2,13.5,22.0,28.4,47.5
1113,gift for men,40.0,34.75,39.8,45.25,69.5,51.2,51.0,38.75,41.2,39.0,44.25,46.0,48.0
1114,gift for boys under 500,52.0,14.75,24.2,29.5,23.25,10.6,6.5,26.25,20.8,46.75,27.75,43.2,24.5
1115,gift for boys,62.0,63.0,59.6,62.25,82.5,65.6,62.75,54.25,54.6,53.25,57.5,62.2,63.0
