,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
0,smart watch,69.0,83.0,84.2,69.0,69.25,68.4,71.25,71.25,69.8,71.5,75.5,75.6,79.0
1,titan,46.0,46.25,48.4,44.75,45.75,49.2,56.75,54.25,48.2,49.25,70.75,54.0,52.5
2,flipkart kurti,58.0,84.25,72.8,50.25,45.0,46.2,60.75,62.75,60.2,53.75,58.75,51.6,59.5
3,samsung watch,71.0,80.0,71.8,56.25,53.5,53.0,56.75,51.0,44.6,45.75,53.25,59.0,66.5
4,watch for men,77.0,82.5,84.4,78.0,79.25,82.2,87.5,75.75,81.4,80.75,86.0,90.6,97.5
5,watch ultra,6.0,35.25,32.4,40.75,43.5,53.4,58.25,55.25,60.6,67.25,79.25,88.8,97.0
6,anime watch,40.0,33.5,40.6,36.0,42.0,44.2,47.0,55.25,55.6,54.25,58.5,83.4,83.0
7,series to watch,74.0,83.0,72.8,65.25,75.25,77.0,71.5,79.5,75.6,78.75,89.75,80.6,72.0
8,smart watch price,75.0,81.0,86.4,70.75,70.5,67.6,73.0,71.75,69.8,72.5,78.25,81.4,83.0
9,what to watch,100.0,94.75,94.0,88.0,77.75,71.6,75.75,69.25,64.4,63.75,71.0,69.0,66.5
10,boat watch,57.0,75.0,76.6,56.5,55.0,61.0,67.75,67.25,61.6,57.25,60.0,59.2,55.0
11,fire boltt watch,47.0,62.75,65.2,52.5,55.75,75.4,90.0,91.0,81.4,86.25,89.25,86.8,92.0
12,apple watch,50.0,95.0,71.8,66.5,58.5,61.4,57.25,56.25,53.2,53.5,55.0,55.4,53.0
13,noise smart watch,65.0,74.0,70.0,51.5,52.0,52.4,56.0,53.0,53.0,57.5,58.5,64.2,62.0
14,fire boltt,54.0,71.0,63.8,52.5,56.5,71.2,84.75,89.25,78.2,76.75,83.75,76.6,82.5
15,girls watch,80.0,89.0,89.0,78.5,72.5,69.8,75.25,69.0,70.4,67.75,69.5,71.4,73.5
16,fastrack watch,80.0,81.25,81.2,71.75,73.25,76.0,80.25,77.25,78.8,89.75,83.75,85.2,88.5
17,fastrack,73.0,69.5,73.0,65.75,71.75,80.4,77.75,75.25,76.2,86.75,82.25,77.4,82.5
18,rolex watch,60.0,65.5,67.2,63.5,72.5,63.6,68.5,66.75,63.0,70.25,80.5,89.2,91.0
19,watch 8 ultra,0.0,24.0,19.2,42.75,58.0,73.6,79.0,73.0,81.6,90.25,93.5,81.2,85.0
20,apple watch ultra,2.0,69.25,55.8,66.25,63.0,69.8,67.75,65.0,64.4,66.5,70.0,68.0,61.0
21,tu jhoothi main makkar full movie watch online,0.0,0.75,0.6,0.0,0.5,0.4,1.0,68.25,73.4,73.0,44.25,14.8,7.5
22,apple watch ultra price,1.0,61.5,33.8,36.0,38.5,43.2,40.0,34.0,37.0,40.0,34.25,38.0,38.0
23,movies to watch,61.0,58.75,66.0,60.0,72.0,66.0,62.25,75.25,71.6,84.0,82.75,81.0,74.0
24,huawei watch buds,0.0,1.25,0.0,0.75,51.75,57.6,27.5,57.0,44.2,40.25,17.5,12.8,13.5
25,dizo watch r talk,17.0,89.75,36.4,30.5,23.5,10.6,10.0,7.25,7.0,5.25,4.0,3.6,5.0
26,where to watch ipl 2023,0.0,0.25,0.2,1.25,13.75,0.8,3.0,28.75,11.8,7.75,1.0,0.2,0.0
27,where to watch fifa world cup,0.0,0.0,0.6,35.5,17.0,0.4,0.25,0.0,0.0,0.0,0.0,0.8,1.0
28,rs7 watch,1.0,0.5,0.0,0.0,0.25,0.6,0.0,0.0,0.6,0.5,67.0,17.8,13.5
29,i watch ultra,0.0,47.5,42.8,60.0,56.25,76.8,77.5,67.25,65.2,81.5,87.0,77.6,73.0
30,apple watch series 8,11.0,72.5,47.6,53.5,50.25,54.2,49.75,48.25,47.6,50.25,49.25,44.8,44.5
31,i watch series 8,12.0,80.25,64.8,86.25,75.75,86.8,78.5,79.25,78.4,85.5,82.5,68.0,61.5
32,ani watch,1.0,1.0,0.6,0.75,0.25,1.2,0.5,1.0,1.0,0.75,1.5,71.0,85.0
33,drishyam 2 watch online,1.0,0.75,2.6,58.5,43.5,25.0,6.75,7.0,4.2,3.5,4.0,4.6,2.5
34,men watch,76.0,82.5,87.8,80.0,79.75,82.2,88.75,77.0,82.0,81.5,87.5,89.4,95.5
35,ullu web series watch online movierulz,0.0,2.0,2.2,1.5,3.5,25.0,20.25,24.5,43.0,59.25,24.5,16.8,19.0
36,realme watch 3 pro,30.0,75.0,68.0,51.0,56.75,47.0,49.0,37.25,28.8,24.75,23.0,20.0,16.5
37,jaipur watch company,0.0,1.25,0.8,0.75,0.75,28.4,6.75,3.25,3.2,3.25,2.25,2.0,3.5
38,google pixel watch,7.0,14.75,57.6,48.5,46.5,41.6,33.25,53.25,20.8,15.5,15.25,15.8,17.5
39,pixel watch,7.0,17.5,67.4,39.0,37.0,34.2,28.0,40.25,18.8,16.75,16.0,16.0,17.5
40,best earbuds,53.0,71.5,54.4,46.0,47.25,54.0,54.25,53.75,50.8,52.5,60.75,66.0,62.5
41,boat earbuds,56.0,75.25,61.6,53.5,59.25,68.4,71.75,71.25,66.0,68.5,76.25,79.0,71.5
42,earbuds boat under 500,52.0,29.75,36.2,13.75,33.75,26.2,67.75,63.25,35.8,56.75,73.5,72.6,72.0
43,boat,72.0,83.75,76.0,66.0,68.75,75.6,80.75,73.75,66.4,64.75,73.25,75.4,79.0
44,earbuds wireless,65.0,81.0,67.8,64.0,67.75,66.6,64.0,65.75,70.8,72.75,75.25,81.4,80.0
45,watch online movies,79.0,79.0,85.4,82.75,85.0,85.6,78.5,82.5,76.0,81.75,88.5,83.4,88.0
46,wireless earbuds under 500,51.0,39.75,31.6,38.75,16.5,34.4,16.25,37.5,24.2,41.75,37.0,27.8,29.5
47,bluetooth earbuds under 500,0.0,47.5,47.8,6.0,18.0,19.6,30.0,40.75,45.8,38.75,70.5,35.0,13.5
48,bluetooth,80.0,88.25,84.6,72.75,76.75,76.2,73.25,70.25,67.0,68.5,70.0,69.0,69.0
49,bluetooth earbuds,67.0,81.75,74.6,67.75,74.25,75.8,73.0,73.5,69.0,69.5,72.0,71.0,67.0
50,earbuds bluetooth,67.0,81.75,74.6,67.75,74.25,75.8,73.0,73.5,69.0,69.5,72.0,71.0,67.0
51,earphones under 500,77.0,70.75,61.8,56.0,65.0,65.6,69.5,55.75,58.6,66.5,78.0,75.0,75.0
52,earphones,85.0,88.25,75.4,68.75,71.0,71.4,69.5,65.5,60.4,59.25,70.5,74.4,71.0
53,flipkart earbuds,45.0,70.25,54.6,40.5,48.0,50.2,51.75,49.75,41.8,44.5,53.75,56.4,56.5
54,earbuds price,69.0,89.5,82.6,72.0,77.25,80.2,85.25,77.25,67.0,71.5,82.75,88.2,85.0
55,earbuds under 1000,57.0,63.25,64.0,47.75,63.25,64.8,59.5,64.5,60.6,68.5,82.0,88.8,87.5
56,noise,75.0,82.0,70.2,63.75,62.5,66.4,72.0,59.25,58.2,61.0,65.0,70.4,70.0
57,buds under 500,66.0,73.5,35.8,54.25,50.75,57.0,59.75,52.0,42.6,67.5,65.75,79.4,74.0
58,buds,67.0,79.25,63.2,54.25,58.25,62.2,77.5,68.5,58.6,59.5,77.5,84.2,69.5
59,tws earbuds under 500,0.0,12.25,10.6,16.75,48.75,20.6,35.75,0.0,17.8,12.5,15.0,11.4,35.5
60,tws earbuds,65.0,76.75,83.4,69.5,80.0,82.4,76.75,62.75,60.4,65.0,72.25,71.6,66.5
61,airpods under 500,58.0,56.0,69.2,62.75,53.25,62.4,67.0,65.25,63.8,66.5,72.5,53.6,44.5
62,ptron earbuds under 500,0.0,0.0,7.2,18.5,16.25,33.4,0.0,9.0,51.6,41.75,57.5,21.4,47.0
63,airpods,63.0,87.75,71.4,63.0,67.5,67.6,67.5,64.0,60.0,64.0,71.5,70.2,66.5
64,ptron,85.0,83.0,73.0,63.0,76.0,75.2,78.75,66.5,63.0,59.25,62.75,63.8,68.5
65,ptron earbuds,56.0,70.25,73.2,64.5,71.25,83.8,80.75,69.5,67.8,69.0,74.25,80.8,79.0
66,headphones,77.0,87.25,78.4,72.0,70.0,75.8,72.0,72.5,67.2,70.25,83.75,81.0,81.0
67,noise watch,67.0,76.25,71.6,53.0,50.5,54.8,60.5,55.0,55.0,59.75,61.75,66.8,64.0
68,truke earbuds,52.0,60.0,62.2,56.75,77.0,63.6,63.5,60.5,60.4,51.75,57.5,59.2,49.5
69,hoppup earbuds,20.0,47.5,37.8,24.0,25.0,28.8,33.25,25.5,27.8,28.0,56.0,52.6,72.0
70,boat earbuds under 800,0.0,16.5,13.4,8.25,0.0,18.6,10.5,5.75,12.8,15.5,43.25,31.6,12.5
71,price history,48.0,73.25,55.0,51.5,51.75,55.0,51.25,47.25,44.8,47.75,50.75,54.8,53.0
72,airports,65.0,69.5,72.8,76.0,82.5,83.2,86.75,78.5,76.2,74.25,83.0,75.4,78.0
73,shopsy,80.0,79.75,52.6,39.0,45.0,40.6,49.25,91.5,61.4,58.0,73.75,58.4,78.5
74,earbuds under 600,41.0,31.5,52.6,39.0,56.75,35.0,31.75,21.5,16.2,34.25,51.75,30.6,87.0
75,earbuds under 800,17.0,13.25,26.0,21.5,34.5,27.0,36.25,26.0,17.4,21.75,51.25,28.4,47.0
76,earbuds under 1500,66.0,75.75,56.2,42.5,53.5,64.4,68.25,68.0,60.8,75.0,81.75,86.6,83.5
77,ear buds under 500,0.0,18.25,26.4,34.5,36.75,30.6,39.5,28.25,44.8,41.0,57.0,38.2,53.0
78,movie to watch,58.0,61.75,65.4,64.75,70.5,70.2,66.0,79.0,75.2,82.5,91.5,85.4,84.5
79,best neckband under 500,20.0,39.75,32.4,33.0,26.0,17.2,57.5,37.0,9.8,27.25,44.0,33.4,33.5
80,best earbuds under 2000,59.0,70.5,55.2,41.0,38.25,54.2,49.0,54.25,46.0,49.5,59.0,63.8,61.5
81,ptron bassbuds,41.0,56.0,51.8,54.25,53.25,49.4,77.0,46.25,39.0,36.0,38.75,40.8,39.0
82,earbuds under 700,32.0,14.5,23.0,17.75,16.75,22.2,20.25,34.75,50.6,23.0,27.5,51.2,50.5
83,ear buds,73.0,82.5,77.8,72.0,71.75,72.4,75.25,74.0,68.8,74.75,83.25,84.6,83.0
84,earbud,71.0,82.0,71.0,71.0,69.5,73.2,65.75,69.25,67.8,75.75,84.5,88.6,84.0
85,noise earbuds,74.0,77.5,62.4,59.75,58.25,65.4,71.25,56.75,53.6,57.5,71.75,75.6,75.5
86,best airpods under 500,22.0,19.5,38.4,8.75,10.0,8.2,23.5,16.75,25.8,16.75,32.75,0.0,17.0
87,gaming earbuds,34.0,44.0,47.4,44.75,59.25,57.6,57.25,57.5,51.2,52.0,80.25,70.8,65.0
88,kurti set,64.0,79.5,77.6,51.25,50.0,55.6,73.0,80.75,85.4,76.75,81.0,79.2,93.5
89,titan watch,73.0,80.75,91.0,83.25,83.75,82.2,95.25,84.75,84.6,88.0,90.75,91.8,98.0
90,kurti set under 500,42.0,66.25,59.2,34.25,26.75,41.8,59.0,62.25,68.0,54.0,72.25,73.4,73.0
91,kurti meesho,76.0,89.5,74.2,50.0,43.5,50.6,67.0,74.25,77.4,73.25,83.0,75.2,79.5
92,meesho kurti under 500,32.0,62.5,52.4,46.0,41.75,41.2,65.5,51.75,67.0,31.5,69.25,69.8,52.5
93,meesho,70.0,85.75,71.4,61.75,63.25,65.0,73.25,71.5,71.0,68.5,77.75,80.8,85.5
94,plazo kurti set,67.0,81.25,75.6,48.75,42.0,44.2,54.25,66.0,60.2,53.0,60.25,46.6,49.5
95,meesho kurti set,58.0,85.25,76.2,46.0,42.0,44.0,70.5,72.5,76.4,73.25,73.75,71.4,75.0
96,kurti set with dupatta under 500,27.0,46.5,62.4,18.25,16.75,21.6,38.0,39.0,36.6,40.75,53.75,59.4,54.0
97,kurti set with dupatta,64.0,81.75,80.2,55.0,50.5,57.8,76.0,76.0,88.8,83.5,75.25,76.2,92.5
98,kurti for women,45.0,52.25,49.0,38.75,38.0,47.0,64.0,66.5,72.2,67.75,78.75,78.2,97.0
99,kurti for women under 500,47.0,36.5,36.2,34.0,35.25,20.0,64.25,66.25,67.8,48.75,64.0,75.2,64.0
100,flipkart kurti under 500,29.0,47.0,59.4,23.75,28.5,26.8,43.0,56.5,36.6,36.5,38.0,50.8,47.0
101,kurti pant set,67.0,82.25,78.8,50.25,44.25,58.4,78.0,86.25,92.2,80.0,82.25,74.0,83.5
102,kurti pant set under 500,40.0,40.5,37.2,21.0,17.5,29.4,44.0,46.5,53.4,30.25,44.5,49.8,42.5
103,flipkart kurti set,56.0,87.5,79.4,51.5,44.0,45.8,66.25,71.5,70.2,56.25,64.5,66.2,70.0
104,flipkart kurti set under 500,31.0,63.0,52.8,34.75,46.25,12.0,29.5,66.75,30.4,39.0,49.5,45.6,53.0
105,meesho kurti plazo set under 500,39.0,37.5,40.0,17.75,24.5,24.8,41.25,34.75,55.2,10.25,33.75,29.8,63.0
106,myntra kurti,74.0,85.5,72.4,46.0,45.75,46.0,59.5,63.25,65.8,62.5,70.0,66.6,80.5
107,myntra,51.0,78.0,66.4,59.75,74.0,55.2,55.0,54.25,58.8,61.5,64.0,49.8,49.0
108,cotton kurti,65.0,62.5,52.4,38.5,35.5,40.4,66.0,83.0,89.4,82.5,95.5,73.8,80.0
109,dress under 500,84.0,72.25,75.0,58.25,67.25,67.2,81.0,81.75,82.8,73.5,81.75,80.0,83.5
110,kurti set for women,36.0,47.0,49.2,32.0,34.25,42.6,57.75,63.5,71.2,68.0,74.0,74.6,91.5
111,kurta set under 500,19.0,21.75,41.8,23.25,19.25,28.0,42.25,44.5,60.8,62.75,81.0,75.2,95.0
112,kurti set for women under 500,41.0,6.5,39.8,6.0,22.5,33.6,32.0,29.25,33.0,31.25,49.5,54.2,11.5
113,chikankari kurta set,43.0,42.25,48.2,24.0,21.5,42.2,71.75,81.75,82.0,75.75,79.75,80.8,94.0
114,heels for women under 500,31.0,33.5,39.4,29.0,22.75,30.0,30.25,25.5,37.4,35.25,39.75,29.0,88.0
115,chikan kurti for women,22.0,26.5,42.4,25.5,44.0,26.6,35.25,61.75,46.2,40.75,45.75,44.8,43.5
116,meesho kurti palazzo set under 300,0.0,25.0,33.4,0.0,15.75,10.2,21.0,14.5,0.0,34.5,0.0,0.0,30.5
117,max kurtis under 500,0.0,17.25,10.2,0.0,20.0,0.0,19.5,12.25,24.6,11.75,21.0,20.0,0.0
118,black chikankari kurti,48.0,35.25,37.2,16.25,20.25,28.2,52.25,54.75,68.6,70.0,76.5,71.0,93.0
119,short kurti for women,30.0,30.0,24.4,21.0,20.5,30.2,54.5,60.5,66.8,68.75,90.0,80.6,92.5
120,chikankari kurti,59.0,54.0,49.6,31.5,27.0,42.4,63.0,76.25,78.8,85.75,94.75,81.8,90.5
121,meesho kurti set with dupatta party wear,0.0,5.25,20.4,5.25,13.75,41.8,10.0,32.0,10.0,17.75,20.0,12.0,34.0
122,chikankari kurti under 500,24.0,4.75,17.4,17.0,4.25,11.0,29.75,38.5,12.0,30.5,15.5,35.4,50.0
123,white kurti for women,39.0,38.0,34.4,27.0,32.0,39.6,51.5,54.5,48.2,36.5,49.0,47.8,88.0
124,meesho kurti set with dupatta under 200,30.0,17.25,21.6,10.75,18.0,15.0,14.75,24.0,21.4,0.0,6.75,28.6,50.0
125,short kurti,51.0,50.5,46.4,34.5,29.25,39.4,59.25,67.25,69.4,67.75,82.75,78.8,96.5
126,chikankari kurti for women,19.0,26.0,27.0,21.25,12.25,29.8,36.0,46.5,51.2,66.5,75.5,67.4,84.0
127,kurta for women,54.0,55.0,58.6,44.75,43.5,52.4,68.75,71.0,76.6,75.5,82.5,80.0,95.5
128,kurta set for women under 500,20.0,25.0,47.2,39.0,9.0,22.8,32.75,65.0,63.6,52.5,64.0,73.0,80.5
129,sleeveless kurti,71.0,61.75,59.2,33.5,30.75,36.0,54.5,58.5,71.0,84.25,86.75,77.2,90.5
130,kurta set for women,44.0,48.5,53.2,37.25,34.75,47.6,61.0,65.5,71.6,73.5,77.5,76.2,96.5
131,women jeans under 500,100.0,60.75,52.2,46.0,54.25,64.6,57.25,59.0,79.0,82.25,71.25,56.2,78.5
132,jeans for women,70.0,77.0,72.4,74.25,81.5,75.8,75.25,84.25,85.8,88.25,97.0,91.4,98.0
133,jeans for women under 500,69.0,48.0,44.0,38.5,65.75,56.8,55.25,68.0,72.2,62.5,70.5,66.4,75.0
134,jeans for men under 500,38.0,35.75,42.0,31.0,36.0,38.4,52.75,35.25,44.6,26.75,47.5,34.6,36.5
135,jeans for men,68.0,77.75,84.8,76.0,76.75,82.4,83.25,76.5,85.0,72.75,75.0,69.0,79.5
136,wide leg jeans,60.0,67.25,56.6,59.75,66.25,59.2,61.75,80.5,80.8,83.5,91.25,81.4,93.0
137,wide leg jeans under 500,33.0,55.5,51.2,0.0,45.25,25.4,13.25,59.0,52.6,31.75,64.75,55.4,65.0
138,black jeans,80.0,81.75,85.4,85.5,86.5,88.2,88.75,84.5,85.4,76.25,81.0,72.6,79.0
139,top,97.0,96.25,87.6,87.25,86.75,91.2,93.5,90.5,86.8,89.5,97.5,89.4,93.5
140,baggy jeans,44.0,45.0,41.2,43.25,49.5,53.8,60.5,71.5,81.2,73.75,83.75,78.8,94.0
141,baggy jeans under 500,0.0,8.25,6.2,14.0,2.75,18.0,8.25,40.0,17.4,9.75,31.5,24.2,6.0
142,white jeans,86.0,86.75,86.4,84.5,80.5,86.2,91.0,88.75,93.4,86.5,87.25,76.8,97.5
143,high waist jeans under 500,53.0,6.0,30.6,16.5,16.0,18.4,47.75,18.0,34.2,19.25,15.5,19.0,42.5
144,jeans for girls,85.0,83.5,89.6,75.25,78.75,71.6,68.25,73.5,74.6,70.5,68.5,60.4,64.0
145,mens jeans,67.0,78.0,83.6,79.25,78.0,82.4,80.0,76.75,82.2,75.5,81.0,71.4,78.5
146,wide leg jeans women,52.0,58.5,47.0,54.75,56.25,52.6,58.75,66.5,69.6,78.5,86.5,75.8,95.0
147,shoes under 500,61.0,65.75,71.8,81.5,84.5,91.2,76.25,68.25,81.2,81.0,79.75,79.6,92.5
148,jeans under 300,68.0,44.25,52.2,38.0,46.75,37.4,57.25,67.0,46.2,66.75,51.0,54.8,60.0
149,top for women,67.0,79.0,72.6,72.75,69.5,70.8,84.25,89.0,95.4,90.5,97.5,92.2,99.5
150,jeans top for women,61.0,64.75,67.0,66.5,66.25,70.0,78.25,85.75,86.2,92.5,96.25,79.2,95.5
151,high waist jeans women,84.0,79.75,70.6,71.25,76.75,76.6,67.0,79.0,88.0,76.75,88.0,85.2,88.0
152,cargo jeans,31.0,31.5,30.4,28.5,36.25,43.8,54.75,58.0,70.2,73.75,80.75,76.6,99.5
153,cargo pants,44.0,42.75,44.6,41.25,45.5,53.6,60.25,68.5,78.6,77.25,89.5,85.0,98.5
154,baggy jeans mens,72.0,50.0,51.8,50.75,60.75,61.4,64.0,78.25,69.6,77.25,71.25,54.2,62.0
155,sweatshirt for men,17.0,26.25,60.8,91.5,72.75,46.0,21.0,16.0,14.0,10.0,14.0,19.6,19.0
156,sweatshirt for men under 500,0.0,14.0,35.6,51.75,8.25,21.8,34.0,18.5,17.2,5.25,14.25,43.4,18.0
157,black wide leg jeans women,41.0,24.25,37.2,35.0,35.0,30.4,39.0,63.25,53.6,62.5,65.5,51.6,40.5
158,cargo pants for men,46.0,45.25,51.6,40.5,46.5,56.2,57.0,68.0,77.6,75.25,89.25,87.0,98.5
159,baggy jeans men,26.0,31.25,28.8,28.0,32.75,45.6,54.75,62.5,72.6,64.5,77.75,82.4,94.0
160,blue wide leg jeans,24.0,45.0,31.8,18.0,31.0,34.4,36.25,49.75,61.4,73.0,60.25,85.0,85.0
161,cargo pants for women under 500,28.0,0.0,14.6,17.75,6.75,4.8,12.75,33.0,5.4,20.75,11.25,16.8,33.5
162,cargo jeans for women,8.0,21.25,12.4,15.0,17.5,23.2,27.25,42.75,51.6,61.25,68.0,70.8,99.5
163,straight fit jeans women,28.0,56.5,59.4,44.0,52.0,61.8,42.0,61.25,55.6,77.25,84.25,78.8,95.0
164,urbanic jeans for women,69.0,65.0,49.6,54.0,76.5,64.4,56.5,74.75,57.0,73.75,69.25,68.6,79.5
165,wide leg jeans for girls,23.0,42.0,52.0,41.5,57.0,60.0,60.5,43.0,46.6,68.25,57.75,42.2,80.5
166,cargo jeans for men,31.0,33.0,39.4,37.0,40.75,46.8,60.0,56.75,68.0,60.5,77.5,71.6,91.5
167,cargo pants under 500,0.0,20.75,8.6,3.0,11.25,15.4,9.75,45.0,44.2,53.5,60.0,55.6,49.5
168,ripped jeans for women,22.0,52.0,44.2,48.5,44.75,48.4,57.0,60.25,59.6,59.75,72.75,73.8,86.0
169,straight fit jeans,56.0,63.25,58.6,62.75,63.5,68.0,67.0,77.75,79.6,84.5,90.0,85.4,89.5
170,bootcut jeans,72.0,73.25,80.2,78.25,79.75,85.4,87.5,87.5,91.2,81.25,87.25,79.0,86.0
171,best earphones,78.0,85.0,64.4,55.25,57.25,60.6,57.75,54.5,51.6,54.5,62.25,66.4,61.5
172,best earphones under 500,67.0,67.0,47.0,44.0,50.5,66.6,46.5,52.75,65.2,68.0,65.0,67.0,59.5
173,earphones bluetooth,77.0,89.5,75.6,64.75,70.5,67.4,62.25,59.25,52.4,53.5,66.0,64.2,64.0
174,boat earphones under 500,40.0,36.5,43.6,28.25,49.75,51.4,24.5,46.25,35.2,55.25,37.25,43.8,44.0
175,wired earphones,91.0,77.25,56.4,52.0,58.0,66.6,67.5,67.0,64.2,73.75,90.0,94.4,90.5
176,wired earphones under 500,58.0,28.5,25.0,29.5,15.25,40.4,27.75,27.5,41.4,51.0,46.0,63.2,37.5
177,wireless earphones,81.0,86.75,76.0,65.5,70.0,67.4,62.75,59.75,57.2,55.0,61.0,63.6,58.5
178,wireless earphones under 500,36.0,33.75,33.2,24.25,43.0,19.8,34.0,33.75,25.2,8.25,19.25,27.4,66.5
179,best wired earphones,100.0,82.0,48.8,43.75,41.5,52.2,48.0,51.25,46.4,61.0,65.5,73.6,66.0
180,earbuds under 500,53.0,53.0,58.0,47.25,60.25,61.4,61.5,74.75,57.0,59.0,88.5,85.4,91.5
181,earbuds,59.0,77.0,68.8,62.75,66.25,72.8,74.0,72.0,63.0,68.25,82.5,84.0,82.0
182,headphones under 500,75.0,62.75,58.0,74.75,51.25,56.8,74.75,50.5,59.4,68.5,84.25,78.4,65.5
183,best boat earphones under 500,49.0,20.75,14.0,9.5,4.5,21.4,13.0,33.0,46.4,43.75,19.75,46.0,46.5
184,neckband,71.0,82.25,70.6,69.0,70.25,70.0,71.5,69.5,65.8,70.75,83.75,90.2,89.0
185,best bluetooth earphones,80.0,86.5,65.8,58.25,56.25,63.2,59.0,56.0,48.2,47.25,55.75,57.8,56.0
186,neckband under 500,26.0,54.75,47.8,54.25,43.75,54.0,48.5,63.75,48.2,56.25,66.25,40.0,82.5
187,neckband earphones,60.0,79.25,66.0,56.25,63.0,65.6,62.5,57.25,52.0,55.0,64.0,68.2,74.5
188,neckband earphones under 500,0.0,19.75,20.0,54.5,40.75,9.4,24.25,44.0,12.4,33.0,37.0,20.0,0.0
189,earphone under 500,50.0,49.25,33.6,36.25,23.25,21.8,36.5,22.5,23.6,39.25,51.75,34.2,48.5
190,realme,66.0,84.0,76.4,59.0,72.0,65.2,57.5,63.75,61.6,72.25,90.75,93.6,87.5
191,realme earphones,75.0,80.75,59.4,53.5,57.25,57.2,54.25,60.0,58.8,60.75,67.0,70.0,57.0
192,earphone,91.0,95.0,85.8,75.25,77.75,75.4,74.25,74.5,66.4,70.5,77.0,78.8,76.5
193,oneplus wired earphones,100.0,52.25,11.8,9.75,16.0,10.8,15.0,10.0,13.8,16.75,17.25,20.2,16.0
194,motorola earphones,0.0,12.75,14.8,15.5,16.75,24.8,9.75,14.75,12.2,28.0,25.5,24.4,50.0
195,wireless earphones under 1000,43.0,58.75,49.0,42.5,51.0,45.0,30.75,15.5,19.4,25.0,28.0,48.2,15.5
196,realme buds 2 wired,21.0,30.5,27.8,30.5,45.5,49.2,46.25,47.25,51.4,65.25,66.25,78.6,31.0
197,earbuds under 300,38.0,6.25,28.8,15.25,48.5,37.8,55.5,59.0,23.8,43.0,77.25,50.6,63.5
198,boat earbuds under 500 flipkart,0.0,30.5,0.0,0.0,24.0,0.0,7.5,16.5,23.4,38.25,0.0,18.4,34.5
199,realme wired earphones,37.0,47.5,37.6,32.0,44.5,53.6,59.25,69.5,62.8,72.25,76.0,78.6,57.0
200,best neckband earphones,32.0,62.5,44.0,36.0,39.25,36.4,40.25,40.5,32.8,35.25,38.5,38.4,45.5
201,bluetooth headset,82.0,89.75,84.2,74.5,76.0,74.6,72.5,69.5,64.2,61.0,68.0,64.8,60.5
202,type c earphones,72.0,68.0,71.0,51.25,58.5,60.4,63.75,59.75,54.0,63.25,79.5,91.0,97.5
203,sony wired earphones,23.0,53.5,55.6,43.25,40.25,55.6,44.0,50.75,30.4,49.0,61.25,62.8,69.0
204,boat earphones wired,45.0,57.5,53.0,50.0,59.75,65.4,72.5,75.25,64.4,71.25,87.25,94.4,88.0
205,boat earbuds under 500,52.0,29.75,36.2,13.75,33.75,26.2,67.75,63.25,35.8,56.75,73.5,72.6,67.5
206,best headset under 500,0.0,20.25,7.8,36.0,15.75,9.0,11.0,0.0,8.4,20.75,11.0,15.0,0.0
207,school bag,69.0,67.5,54.2,56.25,47.25,48.0,55.75,71.0,67.6,78.25,92.25,70.2,56.5
208,school bag under 500,52.0,43.75,16.4,35.75,17.75,13.4,23.5,42.0,50.0,34.25,70.5,51.6,56.5
209,bags,84.0,89.0,79.6,82.25,82.25,83.6,85.0,83.0,81.6,87.25,98.25,93.0,90.5
210,bags under 500,61.0,60.25,49.4,45.75,61.75,40.4,52.5,53.25,57.2,74.5,85.0,88.8,61.5
211,sling bag under 500,19.0,16.75,6.0,10.0,31.75,19.8,12.25,29.0,26.0,43.0,29.0,54.2,9.0
212,sling bag,72.0,70.25,66.4,64.0,74.5,73.6,72.5,72.5,81.6,86.75,91.25,87.6,100.0
213,bag for women,64.0,64.5,55.8,60.25,62.0,68.2,69.0,69.75,73.2,77.25,90.0,91.2,99.5
214,college bag under 500,0.0,5.75,0.0,12.25,19.5,16.2,8.25,21.5,10.0,6.0,41.75,40.8,87.0
215,college bag,76.0,78.75,57.6,56.5,48.5,47.6,45.75,46.5,47.4,62.0,88.0,92.8,92.5
216,school bag for girls under 500,0.0,15.0,6.4,0.0,31.25,11.4,13.0,25.0,20.2,26.0,59.5,7.4,14.0
217,school bags under 500,60.0,38.0,19.8,0.0,27.75,23.8,26.75,20.0,24.0,65.0,62.5,37.2,50.0
218,school bag for boys,52.0,50.0,37.6,37.5,34.5,38.6,39.75,70.0,57.8,72.75,91.5,65.6,47.5
219,bag for men,70.0,74.75,70.2,71.25,70.25,71.0,74.75,72.0,73.4,79.5,91.25,92.8,95.5
220,school bag for girls,56.0,55.25,41.0,39.75,35.5,34.2,44.0,72.5,64.6,77.75,85.75,55.4,47.0
221,school bag for boys under 500,74.0,15.0,33.0,4.75,16.25,5.2,29.75,16.25,22.0,0.0,36.5,11.0,0.0
222,laptop bag under 500,0.0,0.0,26.2,0.0,13.25,3.8,4.25,8.5,12.0,11.5,14.5,10.6,0.0
223,laptop bag,67.0,72.5,66.4,64.25,65.5,67.2,71.0,67.25,64.0,66.5,80.75,91.8,92.5
224,bts bag,61.0,76.5,59.6,56.25,58.0,58.8,64.75,85.25,58.8,64.25,61.5,43.0,30.0
